CandidateID,skills,major_field_of_studies,positions,responsibilities
C6193,"['Plastics Manufacturing Processes', 'Process Engineering & QA Management', 'New product design and development', 'AutoCAD', 'Bluehill testing software', 'Solidworks', 'Algore FEA', 'Matlab', 'Microsoft Office', 'ISO 9001/AS9100 standards', 'ASTM Material testing and chemical evaluations of materials', 'Design and drafting of custom seal solutions', 'ProE', 'Ansys', 'LabView']","['Mechanical Engineering', None]","['Engineering Supervisor', 'Design Engineer', 'Project Engineer']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws"
C1576,"['ASP.NET 4.5', 'academic', 'Clustering', 'consulting', 'curriculum development', 'customer satisfaction', 'data analysis', 'data mining', 'data warehouse', 'Databases', 'database', 'database design', 'database management', 'data warehousing', 'environmental protection', 'Environmental Science', 'GIS', 'HTML', 'instructor', 'Lecturer', 'legal', 'machine learning', 'managing', 'materials', 'meetings', 'C#', 'Microsoft SQL', 'modeling', 'Natural', 'Oracle', 'process development and engineering', 'processes', 'progress', 'Python', 'quality', 'researching', 'research', 'SAS', 'shipping', 'SPSS', 'SQL', 'Statistics', 'Tableau', 'teaching', 'technical support', 'workshops']","['Analytics', 'Environmental Science and Technology', 'Resource Management']","['Engineering and Quality Technician', 'Lecturer in Environmental Science and Technology', 'Assistant Lecturer in Natural Resource Management']","Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting"
C1248,"['Business Analyst', 'Data Analysis', 'Machine Learning', 'Python', 'C++', 'DotNet', 'Java', 'PyTorch']",['Civil'],['Financial Business Analyst Intern'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking"
C6517,"['assisted living', 'interpersonal and communication', 'insurance', 'internal medicine', 'managing', 'marketing', 'marketing/sales', 'meetings', 'mentor', 'office', 'networking', 'organizing', 'orthopedics', 'outside sales', 'physical therapy', 'rehabilitation', 'sales', 'seminars', 'Team player', 'time management']",['Organizational Communication Business Management'],"['Business Development Manager', 'Marketing/Outside Physician Rep', 'Marketing Director', 'Resident Liaison']","Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation"
C4065,"['Data Analyst', 'Data Mining', 'Data Visualization', 'Text Analytics', 'Data Collection', 'Data Cleaning', 'Business Analysis', 'Python', 'SQL', 'Google Bigquery', 'Tableau', 'Kibana', 'MS Excel/ MS Office', 'Linux', 'Elastic Search', 'Machine Learning']",['N/A'],['Blockchain Analyst'],"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication"
C8372,"['Adobe Captivate', 'Blackboard', 'Business Objects', 'Clarity', 'Cerner', 'DOORS', 'eCHIMP', 'Eclipsys', 'EHRs', 'EPIC', 'HBOC', 'MACESS', 'IDX', 'I-MAX', 'FACET', 'HEAT', 'SQL Server 2005', 'Cognos', 'ER/Studio', 'Mini-tab', 'Oracle', 'SAS', 'SharePoint Foundation 2007/2010', 'SPSS', 'pcAnywhere', 'Excel', 'Word', 'One Note', 'Outlook', 'Power Point', 'Project', 'SharePoint', 'Visio']","['Project Management', 'Project Management', 'Management Information Systems', 'Business Administration']","['Manager Engineering Manufacturing Systems Engineering Manager', 'Manager Engineering Process Initiatives Manager', 'Manager Engineering Process Manager', 'Business Process Analyst', 'Applications Specialist', 'Business Systems Analyst', 'Information Architect']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance"
C2821,"['Data Analytics', 'Artificial Intelligence', 'Data Visualization', 'Machine Learning', 'Python', 'Data Wrangling', 'Featurization', 'Heuristics', 'Data Structures']",['Electronics and Communication'],['Intern'],"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis"
C1163,"['Adobe Creative Suite', 'Adobe Acrobat', 'Photoshop', 'advertising', 'API', 'benefits', 'Branding', 'business development', 'competitive', 'Competitive Analysis', 'Content Development', 'creativity', 'CRM', 'Client Support', 'data management', 'Illustrator', 'InDesign', 'DIRECTOR', 'marketing plans', 'Market Research', 'Marketing Strategies', 'marketing strategist', 'marketing', 'market', 'Media Relations', 'messaging', 'Microsoft Dynamics', 'MS Outlook', 'works', 'communicator', 'organizational skills', 'outside sales', 'Positioning', 'presenter', 'problem-solver', 'processes', 'purchasing', 'quality control', 'Fast learner', 'Real Estate', 'reporting', 'research', 'Sales', 'software development', 'strategy', 'strategic', 'technical sales', 'trainer', 'Training Materials', 'vision', 'writer']",['N/A'],"['Director of Business Development', 'Director of Franchise Sales', 'N/A']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking"
C8481,"['iFixit Pro Tech Toolkit', 'PassMark MemTest86', 'Malwarebytes', 'Recuva', 'Ultimate Boot CD (UBCD)', 'Windows Installation USB/DVD', 'TeamViewer', 'Driver Booster', 'Falcon Dust-Off Compressed Gas Duster', 'Fluke 115 Compact True-RMS Digital Multimeter']",['Electronics and Computer Technology'],"['Computer Repair Technician', 'Computer Technician', 'Help Desk Technician']","Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting"
C6804,"['Machine Learning', 'Natural Language Processing', 'Deep Learning', 'Sentiment Analysis', 'Python', 'NLTK', 'BeRT', 'GPT', 'XLNet', 'Text Analysis', 'Text Extraction', 'OCR']",['Electrical'],['NLP Developer Intern'],"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO"
C6335,"['Machine Learning', 'Deep Learning', 'Computer Vision', 'Pattern Recognition', 'Image Processing', 'Image Segmentation', 'Python', 'Ruby', 'PILLOW', 'OpenCV']",['Computers'],['Computer Vision Engineer'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality"
C2288,"['Power User of Microsoft Excel Epicor NetSuite QuickBooks Hyperion Great Plains Sage Intacct', 'Accounting', 'Accountant', 'Ad', 'auditing', 'Trial Balance', 'Balance Sheet', 'monthly bank reconciliations', 'banking', 'benefits', 'bookkeeping', 'budgets', 'budget', 'bi', 'C', 'Community Health', 'compliance audits', 'contract management', 'contracts', 'CPA', 'credit', 'CRM', 'client', 'clients', 'database', 'Database management', 'finance', 'financial', 'financial audits', 'Financial planning and analysis', 'financial statement preparation', 'financial statements', 'Prepare financial statements', 'funds', 'general ledger', 'GL', 'Great Plains', 'home health', 'hospice', 'human resource', 'Hyperion', 'insurance', 'inventory', 'leadership', 'Microsoft Excel', 'Excel', 'payroll', 'Process payroll', 'procurement', 'proposal', 'QuickBooks', 'Relational database', 'reporting', 'revenue recognition', 'Sage', 'sales', 'tax', 'taxes', 'tax returns', 'therapy', 'validation']",['Accounting'],"['Senior Accountant', 'Senior Accountant/Financial Analyst', 'Revenue Cycle Analyst', 'Financial Analyst', 'Financial Analyst', 'Managing Partner/Controller']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws"
C4225,"['Data Analysis', 'Data Mining', 'Data Modeling', 'Data Processing', 'Machine Learning', 'Natural Language Processing', 'Artificial Intelligence', 'Statistics', 'SQL', 'Tableau', 'PowerBI']",[None],['Data Analyst'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge"
C9475,"['Delivery', 'ergonomics', 'Lighting', 'Paint', 'PLC', 'PLC 5', 'power distribution', 'producing', 'programming', 'Project Management', 'Robotic systems', 'safety', 'troubleshooting', 'Vision Systems']","['Applied Science Electronics Technology', 'N/A']","['Engineering Specialist', 'Industrial Electrician', 'Operator']","Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation"
C3985,"['python', 'C++', 'Haskell', 'PyTorch', 'JAX', 'Pandas', 'scikit-learn', 'matplotlib', 'Linux', 'bash', 'Unity', 'HPC', 'git']","['Computer Science', 'Computer Science', 'Physics']","['Research Scientist', 'Software Engineer', 'Machine Learning Engineer Intern', 'Software Engineer Intern', 'Research Assistant', 'Research Intern', 'Research Assistant']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis"
C8887,"['AutoCAD', 'C++', 'Visual Basics', 'Programmable Logic Controllers', 'Electrical Mechanical Systems', 'Instrumentation and Controls', 'Industrial Electricity', 'Engineering Economy', 'Technical Grammar Skills', 'Communication', 'Team work', 'Problem solving skills', 'Leadership']",['Engineering Technology Computer Engineering'],"['Engineering Business Unit Leader', 'Project Engineer', 'Operations Technician']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis"
C3419,"['Machine Learning', 'Natural Language Processing', 'Deep Learning', 'Business Analysis', 'Python', 'Numpy', 'Pandas', 'Scikit Learn', 'Tensorflow', 'Keras', 'PySpark']",['N/A'],['Data Processing Junior Intern'],"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO"
C4873,"['Snowflake', 'Python', 'C++', 'R', 'SQL', 'Tableau', 'PyTorch']",['Engineering'],"['Computer Vision Scientist', 'IT Data Scientist', 'Associate Data Scientist']","Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification"
